TimeStamp,operating_pressure,operating_time,predicted_operating_time
2020/12/29 01:35,0.503,2.3,2.369745864
2020/12/29 01:36,0.534,2.8,2.376515269
2020/12/29 04:05,0.505,2.8,2.369746717
2020/12/29 04:06,0.546,2.9,2.415524801
2020/12/29 04:20,0.5,2.7,2.36974503
2020/12/29 04:21,0.501,2.9,2.369745262
2020/12/29 04:43,0.533,2.5,2.376099501
2020/12/29 04:44,0.529,2.6,2.373225404
2020/12/29 05:28,0.515,2.5,2.369761053
2020/12/29 05:31,0.55,2.1,2.427961742
2020/12/29 07:00,0.54,2.1,2.361164741
2020/12/29 07:13,0.525,2.7,2.370450866
2020/12/29 07:14,0.505,2.2,2.369746717
2020/12/29 07:15,0.533,2.5,2.376099501
2020/12/29 07:16,0.551,2.5,2.429253779
2020/12/29 07:17,0.554,2.9,2.456623383
2020/12/29 07:18,0.525,2.8,2.370450866
2020/12/29 07:19,0.532,2.4,2.371003168
2020/12/29 07:20,0.519,2.4,2.375816291
2020/12/29 07:21,0.534,2.8,2.376515269
2020/12/29 07:22,0.512,2.4,2.369753817
2020/12/29 07:23,0.535,2.5,2.380923534
2020/12/29 07:24,0.545,2.2,2.413935234
2020/12/29 07:25,0.545,2.3,2.413935234
2020/12/29 07:26,0.557,3,2.562387795
2020/12/29 07:27,0.528,2.7,2.373179363
2020/12/29 07:28,0.526,2.6,2.377823529
2020/12/29 07:29,0.524,2.8,2.370430522
2020/12/29 07:30,0.511,2.5,2.369752175
2020/12/29 07:31,0.556,3,2.529277926
2020/12/29 07:32,0.544,2.4,2.412633094
2020/12/29 07:33,0.539,2.2,2.364781072
2020/12/29 07:34,0.554,2.3,2.456623383
2020/12/29 07:35,0.525,2.5,2.370450866
2020/12/29 07:36,0.541,2.2,2.376694946
2020/12/29 07:37,0.507,2.4,2.369747933
2020/12/29 07:38,0.535,3,2.380923534
2020/12/29 07:39,0.506,2.3,2.369747271
2020/12/29 07:40,0.516,2.7,2.36976453
2020/12/29 07:41,0.559,2.6,2.618402585
2020/12/29 07:42,0.56,2.3,2.606790256
2020/12/29 07:43,0.524,2.5,2.370430522
2020/12/29 07:44,0.538,2.9,2.370103526
2020/12/29 07:45,0.521,2.5,2.375832976
2020/12/29 07:47,0.503,2.8,2.369745864
2020/12/29 07:48,0.541,2.1,2.376694946
2020/12/29 07:49,0.516,2.3,2.36976453
2020/12/29 07:50,0.528,2.1,2.373179363
2020/12/29 07:51,0.551,2.2,2.429253779
2020/12/29 07:52,0.56,2.6,2.606790256
