"timestamp","GazeVec3","PosiVec3"
2023-10-21 12:46:11,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","9.749999046325684,4.772927761077881,4.018410682678223"
2023-10-21 12:46:11,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","9.725807189941406,4.749642848968506,4.061614513397217"
2023-10-21 12:46:11,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","9.685755729675293,4.680624485015869,4.158019542694092"
2023-10-21 12:46:10,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","9.557219505310059,4.597191333770752,4.354678153991699"
2023-10-21 12:46:10,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","9.283273696899414,4.566059589385986,4.654043674468994"
2023-10-21 12:46:10,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","8.952204704284668,4.615060329437256,4.945103168487549"
2023-10-21 12:46:10,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","8.81274700164795,4.623645782470703,5.077550888061523"
2023-10-21 12:46:10,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","8.74929141998291,4.622400283813477,5.142024040222168"
2023-10-21 12:46:10,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","8.497400283813477,4.676069259643555,5.350094318389893"
2023-10-21 12:46:10,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","8.199722290039062,4.742140769958496,5.593825340270996"
2023-10-21 12:46:10,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","7.893247604370117,4.797929286956787,5.854748725891113"
2023-10-21 12:46:10,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","7.726881504058838,4.832091331481934,5.993221282958984"
2023-10-21 12:46:10,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","7.597998142242432,4.843266010284424,6.112980842590332"
2023-10-21 12:46:10,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","7.007824897766113,4.761017799377441,6.7703094482421875"
2023-10-21 12:46:10,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","5.620300769805908,4.549017906188965,8.330930709838867"
