identifier,DateTime,AmbientTemperature,ExhaustVacuum,AmbientPressure,RelativeHumidity
1,2/2/2016 11:00,14.96,41.76,1024.07,73.17
2,2/2/2016 12:00,25.18,62.96,1020.04,59.08
3,2/2/2016 13:00,5.11,39.4,1012.16,92.14
4,2/2/2016 14:00,20.86,57.32,1010.24,76.64
5,2/2/2016 15:00,10.82,37.5,1009.23,96.62
6,2/2/2016 16:00,26.27,59.44,1012.23,58.77
7,2/2/2016 17:00,15.89,43.96,1014.02,75.24
8,2/2/2016 18:00,9.48,44.71,1019.12,66.43
9,2/2/2016 19:00,14.64,45,1021.78,41.25
10,2/2/2016 20:00,11.74,43.56,1015.14,70.72
11,2/2/2016 21:00,17.99,43.72,1008.64,75.04
12,2/2/2016 22:00,20.14,46.93,1014.66,64.22
13,2/2/2016 23:00,24.34,73.5,1011.31,84.15
14,2/3/2016 0:00,25.71,58.59,1012.77,61.83
15,2/3/2016 1:00,26.19,69.34,1009.48,87.59
16,2/3/2016 2:00,21.42,43.79,1015.76,43.08
17,2/3/2016 3:00,18.21,45,1022.86,48.84
18,2/3/2016 4:00,11.04,41.74,1022.6,77.51
19,2/3/2016 5:00,14.45,52.75,1023.97,63.59
20,2/3/2016 6:00,13.97,38.47,1015.15,55.28
21,2/3/2016 7:00,17.76,42.42,1009.09,66.26
22,2/3/2016 8:00,5.41,40.07,1019.16,64.77
23,2/3/2016 9:00,7.76,42.28,1008.52,83.31
24,2/3/2016 10:00,27.23,63.9,1014.3,47.19
25,2/3/2016 11:00,27.36,48.6,1003.18,54.93
26,2/3/2016 12:00,27.47,70.72,1009.97,74.62
27,2/3/2016 13:00,14.6,39.31,1011.11,72.52
28,2/3/2016 14:00,7.91,39.96,1023.57,88.44
29,2/3/2016 15:00,5.81,35.79,1012.14,92.28
30,2/3/2016 16:00,30.53,65.18,1012.69,41.85
31,2/3/2016 17:00,23.87,63.94,1019.02,44.28
32,2/3/2016 18:00,26.09,58.41,1013.64,64.58
33,2/3/2016 19:00,29.27,66.85,1011.11,63.25
34,2/3/2016 20:00,27.38,74.16,1010.08,78.61
35,2/3/2016 21:00,24.81,63.94,1018.76,44.51
36,2/3/2016 22:00,12.75,44.03,1007.29,89.46
37,2/3/2016 23:00,24.66,63.73,1011.4,74.52
38,2/4/2016 0:00,16.38,47.45,1010.08,88.86
39,2/4/2016 1:00,13.91,39.35,1014.69,75.51
40,2/4/2016 2:00,23.18,51.3,1012.04,78.64
41,2/4/2016 3:00,22.47,47.45,1007.62,76.65
42,2/4/2016 4:00,13.39,44.85,1017.24,80.44
43,2/4/2016 5:00,9.28,41.54,1018.33,79.89
44,2/4/2016 6:00,11.82,42.86,1014.12,88.28
45,2/4/2016 7:00,10.27,40.64,1020.63,84.6
46,2/4/2016 8:00,22.92,63.94,1019.28,42.69
47,2/4/2016 9:00,16,37.87,1020.24,78.41
48,2/4/2016 10:00,21.22,43.43,1010.96,61.07
49,2/4/2016 11:00,13.46,44.71,1014.51,50
50,2/4/2016 12:00,9.39,40.11,1029.14,77.29
51,2/4/2016 13:00,31.07,73.5,1010.58,43.66
52,2/4/2016 14:00,12.82,38.62,1018.71,83.8
53,2/4/2016 15:00,32.57,78.92,1011.6,66.47
54,2/4/2016 16:00,8.11,42.18,1014.82,93.09
55,2/4/2016 17:00,13.92,39.39,1012.94,80.52
56,2/4/2016 18:00,23.04,59.43,1010.23,68.99
57,2/4/2016 19:00,27.31,64.44,1014.65,57.27
58,2/4/2016 20:00,5.91,39.33,1010.18,95.53
59,2/4/2016 21:00,25.26,61.08,1013.68,71.72
60,2/4/2016 22:00,27.97,58.84,1002.25,57.88
61,2/4/2016 23:00,26.08,52.3,1007.03,63.34
